a,b,c,d,e
41,31,3.556149969846999,22.770470063873415,4.0896971531136215
33,31,4.200164557024067,24.1281084235934,4.333536200754264
43,30,2.955256799258391,19.378914784662395,3.5380895891766544
37,30,4.1699808936683755,25.36500353206548,4.630994868570158
28,31,5.04759226100702,26.70934768455761,4.797140457823111
50,28,2.968902462218537,20.993310637161652,3.967362795846904
27,31,4.374233061236535,22.72918171862767,4.082281547395574
33,31,4.374366750107655,25.128823834926386,4.5132699944495736
28,31,4.057985921896222,21.472843146277164,3.8566364786606737
42,28,4.004194977150485,25.95014935277948,4.904117262317017
35,31,4.571827245066244,27.047294736360417,4.857837540131212
25,31,6.640103568750953,33.20051784375477,5.962989034772905
49,30,3.2848836071168837,22.994185249818187,4.198144650925995
36,31,4.938584193242264,29.63150515945358,5.3219754336716
26,31,4.327724031764683,22.06714928741256,3.9633770126356636
40,28,3.6820135821124658,23.287098590301603,4.400847973298632
39,31,3.8710418671757236,24.17464871222879,4.341895083351037
42,31,3.6559004227309018,23.692942658918657,4.255378122158145
30,31,4.844617092022244,26.535060637756644,4.765837580143068
45,31,3.142629042976648,21.08139650448268,3.7863305863338086
38,31,4.7374195127596535,29.20341518239407,5.245088204047192
39,31,3.8967683614894373,24.335310617723742,4.3707508134116555
41,30,3.914032794959515,25.062038255512306,4.575681229867171
32,30,4.832813748940429,27.338522992698866,4.991308577324937
27,31,6.71804189534807,34.907969670357524,6.269656435786062
46,31,4.2852896550455375,29.064248513791885,5.2200931325008355
37,31,3.3864758747545687,20.599128560715975,3.699712706635758
47,31,3.158451755322369,21.65325430652055,3.8890392795851882
49,31,4.248393904257555,29.738757329802887,5.341238492120214
28,31,4.04837412193505,21.421982281579243,3.8475015976952607
32,31,5.043095743931025,28.52805758965316,5.123790399626884
25,31,4.7527108736263655,23.763554368131828,4.268060359518003
32,30,5.450368452520417,30.83193994193933,5.629116332614897
26,28,4.6490956887618085,23.705829637556548,4.4799807031027905
47,30,3.4769559497461495,23.836809052268972,4.351986005623686
25,28,6.274102176039294,31.37051088019647,5.928469306431843
30,28,4.828510624108517,26.44684187977583,4.997983326923915
34,31,5.198524679811563,30.312347332147297,5.44425829773082
27,30,4.2179031402866025,21.916867621142142,4.001454261984714
31,31,4.333748427192621,24.12929005039373,4.333748427192621
45,31,3.612791745086834,24.23534379169276,4.352796241429703
44,31,3.9495971548794393,26.198663671580608,4.705418901432131
46,30,3.5398829566269243,24.00865431348491,4.383360514279798
33,30,4.864736169806625,27.94578168633362,5.102178338906562
44,31,3.9710979931338843,26.341284097916837,4.731034286179437
50,28,3.413722393828441,24.138662537644645,4.561778432594217
25,28,3.637190675460934,18.18595337730467,3.4368221422116676
25,31,4.482112935723335,22.410564678616677,4.025056237693522
48,31,4.403047066709042,30.505204910628688,5.478896541362123
25,31,5.578575082673819,27.892875413369094,5.00970831301336
34,31,3.9011754249000523,22.74756623594488,4.085583504180947
33,31,3.240568283731559,18.61564751628016,3.3434689945854803
28,31,5.246492043979306,27.76182640769639,4.986171216769206
47,28,3.0271606867037804,20.753168087953956,3.921980119817714
40,30,3.112843545099564,19.687351204535386,3.594402117416845
48,31,3.068599746749184,21.259882677850307,3.8183876494091047
34,31,4.2680839919815865,24.886992440403926,4.469835793796811
50,30,4.468040830120986,31.593819695969206,5.768215908411114
40,31,4.568489427527478,28.893664114771145,5.189455269993659
30,31,4.696044247483249,25.721293653889482,4.619680715226189
43,31,4.319194681326089,28.322853597288,5.086934674601039
30,31,4.442627214935414,24.333271402064785,4.370384559467331
45,30,3.0463642702915674,20.435632777795465,3.731019016430178
49,31,3.3417783672190517,23.39244857053336,4.201407790656443
36,30,4.207847301207592,25.247083807245552,4.609465770817267
33,31,5.466952335808073,31.40525017868688,5.640549443569484
50,31,3.448372739733604,24.38367748324465,4.379437758901626
46,30,3.905092946671346,26.485628979100074,4.835592147188545
26,31,5.478802345876145,27.936520072740386,5.017547125241597
50,31,3.6857862698204054,26.062444653942787,4.680953243627499
28,31,3.187625730774421,16.8673299127593,3.029461883366389
43,31,4.641879618765618,30.438840237265943,5.466977094158898
48,31,3.5314677217275334,24.46672607728639,4.394353726717392
42,31,4.435898419507097,28.74790742130275,5.163276595040844
44,30,3.4106082854386415,22.623415979354647,4.130451753238456
41,31,4.606507303792126,29.496038566822804,5.297644915387611
37,30,2.8482525695238152,17.325244006725086,3.1631423189215053
25,29,5.154102711862717,25.770513559313585,4.785464230393037
44,31,3.8919555765663914,25.816312696404072,4.636746639055318
36,30,3.1044311091838943,18.626586655103367,3.4007338934416045
50,30,3.356008622394678,23.730564546158007,4.332588501421029
36,31,3.849335643712529,23.096013862275175,4.148166545348513
30,31,4.086370055876038,22.38197057916952,4.0199205858261315
45,31,5.237839893443577,35.136498171000284,6.3107013661657305
38,31,4.063607030803582,25.049756083248784,4.4990690070289405
39,30,3.7383132591201025,23.345758820591232,4.262332909371007
33,31,3.606163124522086,20.71582998245244,3.72067290073369
34,30,4.098445208819237,23.897836856284176,4.363128107255062
46,31,3.006985722099698,20.39436942182637,3.6629368796527477
44,28,3.447474937206814,22.86796168173809,4.321638542916669
35,28,4.035244819709295,23.872830297739615,4.511540861361933
28,31,4.318784221248337,22.85285803114571,4.104494468858934
35,31,4.22236749631169,24.979862981746532,4.48651583542404
42,31,4.1913785827858865,27.163237763895555,4.878661522609559
31,28,4.144715052402762,23.076796762853263,4.361104663606437
46,31,3.222279501171557,21.854562874805783,3.925195365792635
26,31,6.632820741994574,33.8208823935933,6.074409797113359
35,31,5.798636962718589,34.30519890467361,6.161395610362492
44,30,3.4175306480358794,22.669333738150304,4.138835150665944
40,28,4.135187210580734,26.153220273266907,4.942494059039782
35,30,3.8725998369374146,22.91060960334031,4.182885895314658
46,30,3.83691741459302,26.023240023769723,4.751171860129984
40,31,3.657682414645335,23.133214775647357,4.154848026630396
27,31,4.152494864768925,21.576996251845898,3.8753429286433727
44,31,3.7279081678356003,24.72814529122386,4.441306003592233
45,31,3.690892390949888,24.759258851402038,4.446894163965164
41,30,3.7726341321886183,24.156645050783382,4.410379802653196
36,30,4.697496261384787,28.18497756830872,5.145849332313263
34,30,4.30812478911061,25.120468402294524,4.586349066344157
31,31,3.1759997872633874,17.683218431880817,3.1759997872633874
37,31,4.174858429755771,25.394672425818065,4.561017810910067
48,31,3.612973197214632,25.031412575841244,4.495774415840779
38,31,3.198858506600387,19.71908817160385,3.5416527867535144
44,30,3.8846742394807023,25.768013770233413,4.704574134686861
46,31,3.8819210002449265,26.328469192084796,4.728732661147029
34,28,4.324473927217662,25.215799440118925,4.765338173445458
43,31,3.6640007532186187,24.026459692227316,4.315279549656621
48,30,3.2540234928815677,22.54453607477447,4.116050318880984
41,31,3.839899277431611,24.58735213262323,4.416018805818464
45,31,3.5210915868396175,23.620200429527966,4.242313232078329
29,31,4.700021096164464,25.310388199854607,4.545879917049807
40,31,2.627441795987315,16.617400989686743,2.984573323652716
43,31,3.5662222866609246,23.38528340877472,4.200120889614712
49,30,3.22680337105487,22.587623597384088,4.123916988241084
