a,b,c,d,e
35,30,2.2450482447062887,13.281884532590155,2.4249292548928625
36,31,2.3685244720955847,14.211146832573508,2.552397319011211
35,31,2.568392231164506,15.19481335386245,2.729069041660938
30,31,3.7059712830050993,20.298440691682547,3.6457075711022218
36,31,2.8108412223818604,16.865047334291162,3.029051920171219
44,31,2.861067166943418,18.978172585512862,3.4085804191372975
41,30,2.215593887373228,14.18672292054758,2.5901293868864936
40,31,2.7993764029211405,17.70481092272008,3.179877913102083
47,31,3.6463197016659716,24.99790843725928,4.489756894911618
47,30,2.557829367378989,17.53559466951266,3.2015469199198106
25,31,2.75777185649467,13.78885928247335,2.4765522360333247
30,30,2.6734964180947127,14.643342955997369,2.6734964180947127
35,31,2.828986723793892,16.736511163294264,3.005966142357956
27,30,2.3605503470864413,12.265779404934193,2.2394146884882504
30,30,3.505407516538486,19.199907700562925,3.505407516538486
47,28,2.9069705067025535,19.929185727505516,3.766262090499817
36,31,2.8657744039587456,17.194646423752474,3.088249664181668
34,31,3.099809610603604,18.07484072260876,3.2463372270699966
29,30,2.9524898978392917,15.8996446912643,2.9028646845742396
48,31,2.7575752324753227,19.105041633363268,3.431366772794319
36,31,3.6004230388480845,21.602538233088506,3.8799304038988134
50,31,2.229145276666059,15.76243741380533,2.831017332384643
46,30,2.8226684578912353,19.14426891437769,3.495249310449866
33,30,2.7457302652600104,15.77301951928161,2.8797461968932763
45,31,2.5328171202344167,16.99065376625824,3.051611501321172
41,31,2.0945947268059006,13.411950262809897,2.4088573777200546
49,31,2.9660819990229217,20.76257399316045,3.729068372894845
39,31,2.861573047518679,17.870517954024955,3.2096397745075556
27,30,2.743631012174103,14.256324930921515,2.6028369172629975
39,30,2.028664156741056,12.66900359827047,2.3130330172956177
32,31,3.2915353935008804,18.61973597808003,3.344203304001871
47,30,2.284819629706413,15.663934205483379,2.859830034540003
47,31,2.6341404469532717,18.05875707325766,3.2434485183705997
29,31,2.7123689139991156,14.60655361963367,2.6234144744245875
28,31,2.8937427877740856,15.31224754927398,2.7501608457960973
44,30,3.3092516158589342,21.95109189336281,4.007702730621199
31,28,3.488400905736464,19.422594246223454,3.6705252993729482
41,31,2.9999766066507285,19.20922292177683,3.4500782845653752
34,31,2.632184634450301,15.348141981830667,2.7566076761965204
31,30,2.796782751590278,15.571827334882038,2.843013697630148
34,31,1.8659081474174593,10.880020647791119,1.954109394504071
38,31,2.004796645335937,12.358396513614078,2.2196335383942984
32,28,4.607307068532585,26.06286456934484,4.925418436031641
31,30,2.053963772883997,11.435986297207414,2.087915887433493
32,30,2.7148541870640455,15.357534444845427,2.803889347701473
27,31,3.465292018708181,18.00618551839647,3.2340063883817387
28,31,2.8120083624107544,14.879749623145692,2.672481925147872
43,30,3.093826660387957,20.28757813034059,3.7039880597120085
43,31,2.4950476986158625,16.361121898874703,2.9385442401442723
39,31,2.280963189167987,14.244610550774505,2.5584075802256394
43,28,3.73151908904299,24.469207028658808,4.624245469770353
30,31,4.135815943983345,22.652796862092003,4.068562422167213
37,30,2.957445317862238,17.989437564898328,3.2844069170418733
36,30,2.6673899318011838,16.004339590807103,2.92197927061935
42,30,2.173803249413055,14.087855188802438,2.5720786912577656
39,28,2.688020346686235,16.786681684709706,3.172384648267475
44,31,1.931043597416947,12.809094132900238,2.300581220428938
28,31,2.688927736461393,14.228468168201344,2.555508322728155
46,31,2.648633926549217,17.963909294357563,3.2264133543946794
46,30,2.869984633339522,19.465182829807418,3.5538399072825886
33,31,2.2949528039852845,13.183500153341575,2.367826526810947
48,31,2.6161873143240295,18.12547740210555,3.2554318431846507
31,30,2.56101949107785,14.25915305493633,2.603353259702443
28,31,2.3574909594614004,12.47466959363584,2.2405168000491904
