a,b,c,d,e
48,31,2.2807443783858043,15.801460569765236,2.83802609809686
45,30,2.9275502993704876,19.63860443082681,3.5855022148949156
29,31,3.22777957094066,17.38212495061735,3.121921801622769
40,31,2.6557021527455524,16.79613517937667,3.016674931774486
25,30,2.2065869529002455,11.032934764501228,2.01432908200009
34,31,2.4519716632782615,14.297328816099363,2.5678760601916384
33,30,2.965308757103588,17.03440192150938,3.110042062006678
39,31,2.2517515832160715,14.06218413007479,2.5256428278382037
40,31,2.283182335228289,14.440112985566982,2.593520854073512
33,30,1.8106253906690235,10.401250986110597,1.898999930455209
41,31,2.057031685013909,13.171429439479894,2.365658562602141
39,31,2.409396850161858,15.046678506608208,2.7024632376791495
29,30,2.848830185568664,15.341420056826827,2.800947276428747
45,31,2.5255214208996684,16.94171272729055,3.042821431235876
27,31,2.7017723527960236,14.038820956582855,2.521446678006881
30,31,2.518251011675034,13.793028845546216,2.4773011116683468
43,31,2.444061008847482,16.02677981516089,2.8784946292185913
48,31,2.311211893536276,16.012545706649203,2.875938107860268
35,30,2.03944088223332,12.06549497220739,2.2028479212477183
46,28,2.088598762179382,14.165566007447543,2.6770403454411666
38,31,2.6552342028226152,16.367962901041896,2.9397729204046765
49,31,2.1258673040702667,14.881071128491866,2.672719274514702
29,30,2.6160353943242876,14.087781739733387,2.572065281353783
26,31,2.3025579093504973,11.740787710955592,2.1087077228584263
44,30,2.5169166127656655,16.695336066311896,3.0481373895495305
36,30,2.146326870792185,12.877961224753111,2.3511832858247117
27,30,2.0817673113851543,10.817180258565442,1.9749378787386191
47,28,2.350462049648602,16.113955963741503,3.0452514369647257
47,31,2.414719763756456,16.55448465707627,2.9732732167317946
36,31,1.9186602023413262,11.511961214047957,2.067609270769602
38,31,2.278923728842119,14.048229345772631,2.523136474588896
35,31,2.735539864647513,16.18367208910421,2.906673313465849
38,30,2.3146810347162754,14.268652182811726,2.6050875552404364
40,31,2.5402106559253657,16.0657028187089,2.885485407026621
32,30,2.6520380264184027,15.002192579560328,2.739013095953936
29,30,2.1460693979614436,11.556937395570298,2.1099984357429524
32,31,2.151397511019479,12.17014215255787,2.185822057018941
43,31,2.221525451154437,14.567516576117487,2.6164032144336313
45,30,3.2659148303751264,21.908422708330434,3.9999124389036678
48,31,2.6225854171769476,18.169804758958772,3.2633932715003224
50,31,2.2731073834319337,16.0732964518993,2.886849263809263
35,31,2.7314175039907314,16.159283874563982,2.9022930608274575
30,31,3.2191187051866272,17.631839301175383,3.1667718229751647
27,31,3.626461783797053,18.84364818373007,3.384419123325128
48,30,2.3712951314269834,16.428814589489015,2.9994774479110364
27,31,2.3842388250778295,12.388868347239377,2.22510644127588
39,31,2.585783834158013,16.148214868607727,2.900305008669548
37,28,2.5837653660136835,15.716431155470298,2.9701263096315653
46,31,2.56901768819316,17.42392569381163,3.1294294367291213
49,31,2.1164372671796206,14.815060870257344,2.660863482147625
37,30,2.3115072934390217,14.060349953041932,2.5670569452325895
28,31,3.29510001083001,17.43603034748489,3.131603496708037
41,30,2.492524822821484,15.959946105411259,2.9138741661668233
49,30,2.4061111760835114,16.84277823258458,3.0750565230145224
35,30,2.4527412680392326,14.510613029021021,2.6492633597410595
47,31,2.1915722723244477,15.024662530872469,2.698509051707718
47,31,2.352580541105728,16.12847960944546,2.8967604514871326
49,31,2.3552331217535403,16.486631852274783,2.96108649323206
28,31,2.70779220018834,14.328289527477548,2.573436768109681
26,30,4.10982421505024,20.956073869977324,3.826038125110388
43,30,2.309435414022139,15.143980753296114,2.7648999563347867
29,31,2.7777004557013307,14.95837473880428,2.686603412792623
47,31,2.2266081545511445,15.264856438039033,2.74164915094936
33,31,2.6807893925797117,15.399962607848783,2.765914935383721
27,31,2.3570948256744235,12.247823988977423,2.1997741267110693
39,31,2.4891990095587224,15.545042832309496,2.7919721129160995
39,30,2.3007014488489057,14.367875942973711,2.623203252467504
39,30,2.228216093411927,13.91520504335658,2.540557231518684
36,31,2.2381735805305563,13.429041483183337,2.4119270515172326
37,31,2.5228362006229625,15.345813511229277,2.7561894705308974
28,31,3.064291745227499,16.214707804840117,2.9122474925642137
39,31,2.546627876953499,15.903685994240165,2.856386326334495
44,31,2.170897330188295,14.400103805237702,2.586334993156628
50,28,2.247662598316401,15.893374650889022,3.00356548713074
30,30,2.90836284185345,15.929759338929646,2.90836284185345
42,31,2.26440804798431,14.675041394374215,2.635715241892005
27,28,2.4992862477029525,12.986672291039064,2.4542503743130566
43,31,2.323979726653118,15.239354189251989,2.737068811853601
44,31,2.7998610284247243,18.57217699284681,3.3356614580949717
26,31,2.6344353482944123,13.433037248251813,2.4126447121091843
42,30,2.6510118559956237,17.180520427112597,3.13671952920262
37,30,2.127120097870789,12.938766428772716,2.362284746443126
34,31,3.0946310412924802,18.044644734071476,3.2409138674287608
49,31,2.6207531117929785,18.34527178255085,3.2949080792683167
44,31,2.226498227341244,14.768918432964645,2.6525760557614184
31,31,3.4604974454116215,19.267234354227153,3.460497445411621
39,31,2.082827603620134,13.007254215616669,2.3361718219348733
